id,title,description,link,image_link,price,availability,condition
386865840569,"*Lot of 2* Tetra Pak - 955mm (37-7/16"") Large Scraper Blades - 5941101-0213",Quality part from Bulldog of the Pines. eBay Condition: Used,https://bulldogofthepines.com386865840569,https://bulldogofthepines.combanner.jpg,56.24 USD,in_stock,used
386865845185,"*Lot of 2* Tetra Pak - 17-5/8"" 3-Hole Blades 78-162-2081 - for Industrial Equip",Quality part from Bulldog of the Pines. eBay Condition: Used,https://bulldogofthepines.com386865845185,https://bulldogofthepines.combanner.jpg,32.29 USD,in_stock,used
386865853660,"*Lot of 2* Tetra Pak Hoyer - 18-3/4"" 3-Hole Scraper Blades - 5971102-0630",Quality part from Bulldog of the Pines. eBay Condition: Used,https://bulldogofthepines.com386865853660,https://bulldogofthepines.combanner.jpg,33.99 USD,in_stock,used
387212518861,Fresenius - Circuit Board LP955 - 677818 - for Medical Devices *See Description*,Quality part from Bulldog of the Pines. eBay Condition: New – Open box,https://bulldogofthepines.com387212518861,https://bulldogofthepines.combanner.jpg,150.74 USD,in_stock,used
387212518863,"Converse Kith x Chuck Taylor 70 High 'Black Monogram' 171864C - Mens 6, Womens 8",Quality part from Bulldog of the Pines. eBay Condition: Pre-owned - Good,https://bulldogofthepines.com387212518863,https://bulldogofthepines.combanner.jpg,52.49 USD,in_stock,used
385621333106,*Lot of 2* Goodyear - Classic - C136 - Industrial Serpentine/ Accessory V-Belt,Quality part from Bulldog of the Pines. eBay Condition: New other (see details),https://bulldogofthepines.com385621333106,https://bulldogofthepines.combanner.jpg,25.49 USD,in_stock,new
385621333917,Goodyear - Classic - C170 - Industrial/ Commercial Serpentine/ Accessory V-Belt,Quality part from Bulldog of the Pines. eBay Condition: New other (see details),https://bulldogofthepines.com385621333917,https://bulldogofthepines.combanner.jpg,25.49 USD,in_stock,new
388282953039,"Cummins Sensor Adapter 9/16""-18 Conns 4940215 for EPA13 6.7 Liter ISB/QSB Engine",Quality part from Bulldog of the Pines. eBay Condition: Used,https://bulldogofthepines.com388282953039,https://bulldogofthepines.combanner.jpg,16.99 USD,in_stock,used
388282969650,"(Box of 10) Eaton - 1454 1-1/2"" - EMT Set Screw Type Connector Conduit Fitting",Quality part from Bulldog of the Pines. eBay Condition: New – Open box,https://bulldogofthepines.com388282969650,https://bulldogofthepines.combanner.jpg,23.79 USD,in_stock,used
388283001333,"(Qty 3) 2-1/2"" Male NPT Square Head Plugs - 304 SS Stainless Steel - 40SQ112N212",Quality part from Bulldog of the Pines. eBay Condition: New – Open box,https://bulldogofthepines.com388283001333,https://bulldogofthepines.combanner.jpg,21.24 USD,in_stock,used
388283009348,"Quadrant - 1/2"" FNPT Series S6 Seal-Welded SS Ball Valve - API 608 - PEEK Seat",Quality part from Bulldog of the Pines. eBay Condition: New – Open box,https://bulldogofthepines.com388283009348,https://bulldogofthepines.combanner.jpg,25.49 USD,in_stock,used
388283039449,"(Qty 12) 1/2"" Female NPT 90 Elbow Iron Pipe Fittings - UL Listed/ FM Approved",Quality part from Bulldog of the Pines. eBay Condition: New – Open box,https://bulldogofthepines.com388283039449,https://bulldogofthepines.combanner.jpg,21.24 USD,in_stock,used
388283053471,(Bag of 100) NTI - 25x38x6.5 100% NBR Buna-N Oil Seals - 2209 - Black *NOT TCV*,Quality part from Bulldog of the Pines. eBay Condition: New – Open box,https://bulldogofthepines.com388283053471,https://bulldogofthepines.combanner.jpg,54.26 USD,in_stock,used
388283060775,"(Qty 10) SPF - 1-1/4"" x 1-1/4"" Grooved Weld Outlets - 300# - SCH 40 - 3"" Length",Quality part from Bulldog of the Pines. eBay Condition: New – Open box,https://bulldogofthepines.com388283060775,https://bulldogofthepines.combanner.jpg,21.24 USD,in_stock,used
388283091010,"Dixon 2"" NPSM King Short Shank Suction Complete Coupling S-78 (S-25 S-26 S-27)",Quality part from Bulldog of the Pines. eBay Condition: New – Open box,https://bulldogofthepines.com388283091010,https://bulldogofthepines.combanner.jpg,22.09 USD,in_stock,used
388283100352,"Dixon - W-Series Wingstyle Female Threaded Coupler 6WF4-B - 1/2"" FNPT, 3/4"" Body",Quality part from Bulldog of the Pines. eBay Condition: New – Open box,https://bulldogofthepines.com388283100352,https://bulldogofthepines.combanner.jpg,22.94 USD,in_stock,used
388283107504,"(Qty 4) WM - 3/4"" x 1/2"" MNPT Steel Pipe Reducer Fittings - SCH 80 - SP-95 - WPB",Quality part from Bulldog of the Pines. eBay Condition: New – Open box,https://bulldogofthepines.com388283107504,https://bulldogofthepines.combanner.jpg,21.24 USD,in_stock,used
388283110911,"1-1/2"" Weld Neck Raised Face Slip-On Flange - 300# - SCH XS - WN SO-RF *NOS*",Quality part from Bulldog of the Pines. eBay Condition: New – Open box,https://bulldogofthepines.com388283110911,https://bulldogofthepines.combanner.jpg,21.24 USD,in_stock,used
389385371041,"(Qty 2) Koch 3/16"" x 20' Grade 30, 800 lbs Max Chain Electrogalvanized No Hooks",Quality part from Bulldog of the Pines. eBay Condition: New,https://bulldogofthepines.com389385371041,https://bulldogofthepines.combanner.jpg,33.59 USD,in_stock,new
388283114645,"HM - 3"" x 3"" x 1-1/2"" Weld Tee - SCH XH - A234 - WPB - Carbon Steel",Quality part from Bulldog of the Pines. eBay Condition: New – Open box,https://bulldogofthepines.com388283114645,https://bulldogofthepines.combanner.jpg,27.19 USD,in_stock,used
388283118493,"(Qty 5) 3/8"" x 5"" NPT x OAL Pipe Nipples - SCH 80 - A/SA106-B Carbon Steel",Quality part from Bulldog of the Pines. eBay Condition: New – Open box,https://bulldogofthepines.com388283118493,https://bulldogofthepines.combanner.jpg,22.94 USD,in_stock,used
389385389324,"Burns 2"" RF Flanged Thermowell 16"" Tapered Stem 316L Stainless 1/2"" Port 150#",Quality part from Bulldog of the Pines. eBay Condition: New – Open box,https://bulldogofthepines.com389385389324,https://bulldogofthepines.combanner.jpg,159.99 USD,in_stock,used
388283123789,"(Qty 10) 1-1/4"" Female NPT Straight Pipe Couplings - UL Listed/ FM Approved",Quality part from Bulldog of the Pines. eBay Condition: New – Open box,https://bulldogofthepines.com388283123789,https://bulldogofthepines.combanner.jpg,33.99 USD,in_stock,used
389385406827,"(Box of 5) Southwire - 2-1/2"" Steel Sealing Conduit Locknut - #717 - LNS-250-I",Quality part from Bulldog of the Pines. eBay Condition: New – Open box,https://bulldogofthepines.com389385406827,https://bulldogofthepines.combanner.jpg,47.99 USD,in_stock,used
389385412384,"Thorlabs Adjustable/ Variable Height Pedestal Post (P-Post) BLP01/M 1-1/2"" OD",Quality part from Bulldog of the Pines. eBay Condition: New – Open box,https://bulldogofthepines.com389385412384,https://bulldogofthepines.combanner.jpg,62.39 USD,in_stock,used
389389024141,"(Qty 2) Shurflo - Water Pressure Reducer Valves 65 psi - 183-165-01 - 3/8"" Barb",Quality part from Bulldog of the Pines. eBay Condition: New,https://bulldogofthepines.com389389024141,https://bulldogofthepines.combanner.jpg,22.49 USD,in_stock,new
389389027606,"Generant - Back Pressure Regulator - 1/4"" NPT - 100-350 psi - BPR-250I-C-320",Quality part from Bulldog of the Pines. eBay Condition: New – Open box,https://bulldogofthepines.com389389027606,https://bulldogofthepines.combanner.jpg,39.99 USD,in_stock,used
389389035541,"(Bag of 25) NDL - 1/2"" 90 Short Radius Copper Elbows Cup x Cup CxC - CS7-08 107",Quality part from Bulldog of the Pines. eBay Condition: New,https://bulldogofthepines.com389389035541,https://bulldogofthepines.combanner.jpg,17.99 USD,in_stock,new
389389061864,"Eaton 3/4"" Model 85 Y-Strainer 600# SWE Carbon Steel SS Screen SY085007ES30A NOS",Quality part from Bulldog of the Pines. eBay Condition: New – Open box,https://bulldogofthepines.com389389061864,https://bulldogofthepines.combanner.jpg,71.99 USD,in_stock,used
389389069236,"Eaton - 3/4"" Model 85 Y-Strainer 600# SWE Carbon Steel SS Screen - SY085007ES30A",Quality part from Bulldog of the Pines. eBay Condition: New – Open box,https://bulldogofthepines.com389389069236,https://bulldogofthepines.combanner.jpg,87.99 USD,in_stock,used
389389091089,"(Qty 2) Kimball Midwest 1"" Female JIC Swivel x Hose Crimp 45 Elbow EFJX45-16-16",Quality part from Bulldog of the Pines. eBay Condition: New – Open box,https://bulldogofthepines.com389389091089,https://bulldogofthepines.combanner.jpg,33.99 USD,in_stock,used
389389115588,"(Qty 5) 1"" NPT x 17"" Long Steel Pipe Nipples SCH 40",Quality part from Bulldog of the Pines. eBay Condition: New – Open box,https://bulldogofthepines.com389389115588,https://bulldogofthepines.combanner.jpg,33.99 USD,in_stock,used
388605436669,(Lot of 9) DC Comics - Icon - 1993 - Issues #2 #4 #5 #6 #7 #11 #19 #20 #21,Quality part from Bulldog of the Pines. eBay Condition: Good,https://bulldogofthepines.com388605436669,https://bulldogofthepines.combanner.jpg,21.24 USD,in_stock,used
388605472697,"(Lot of 3) Black Panther & The Agents of Wakanda 2019; Issues #1, #2, #2 Variant",Quality part from Bulldog of the Pines. eBay Condition: Good,https://bulldogofthepines.com388605472697,https://bulldogofthepines.combanner.jpg,16.99 USD,in_stock,used
388605563042,218A Toner Cartridge *NO CHIP* for HP LaserJet Pro 3201dw & MFP 3301fdw/ 3301sdw,Quality part from Bulldog of the Pines. eBay Condition: Open box,https://bulldogofthepines.com388605563042,https://bulldogofthepines.combanner.jpg,21.24 USD,in_stock,used
386130854307,(1) OE Mecal by Starn - Machine Press Spare Parts - Steel Tooth - 911272097 E23,Quality part from Bulldog of the Pines. eBay Condition: New – Open box,https://bulldogofthepines.com386130854307,https://bulldogofthepines.combanner.jpg,21.24 USD,in_stock,used
386130867407,OE Mecal by Starn - Machine Press Spare Parts - Steel Bracket - 911080063 E23,Quality part from Bulldog of the Pines. eBay Condition: New – Open box,https://bulldogofthepines.com386130867407,https://bulldogofthepines.combanner.jpg,37.49 USD,in_stock,used
386130874699,(1) OE Mecal by Starn - Machine Press Spare Parts - Steel Block - 991010018 C23,Quality part from Bulldog of the Pines. eBay Condition: New – Open box,https://bulldogofthepines.com386130874699,https://bulldogofthepines.combanner.jpg,21.24 USD,in_stock,used
386130881717,NAPA - Echlin - Heater A/C Door Actuator Motor - ADA113 - for Select 09-17 Fords,Quality part from Bulldog of the Pines. eBay Condition: New,https://bulldogofthepines.com386130881717,https://bulldogofthepines.combanner.jpg,15.29 USD,in_stock,new
386130890731,Windshield Wiper Motor - 10960 - for GM Chevy 08-14 1500 2500 3500 4500 19169125,Quality part from Bulldog of the Pines. eBay Condition: New other (see details),https://bulldogofthepines.com386130890731,https://bulldogofthepines.combanner.jpg,37.49 USD,in_stock,new
